연번,업소명,영업소 주소(도로명),소재지전화,업태명,데이터기준일자
1,청수모텔,강원도 동해시 송정로 54-1 (송정동),033- 522-4543,여관업,2022-10-19
2,흥복여인숙,강원도 동해시 묵호시장길 17-2 (묵호진동),033- 532-2812,여인숙업,2022-10-19
3,화성여관,강원도 동해시 송정1길 39 (송정동),033- 521-9814,여관업,2022-10-19
4,해동여관,강원도 동해시 송정중앙로 58-1 (송정동),033- 521-5700,여관업,2022-10-19
5,제이모텔,강원도 동해시 발한로 220-16 (발한동),033- 531-7001,여관업,2022-10-19
6,산수장여관,강원도 동해시 일출로 2-8 (발한동),033- 532-8156,여관업,2022-10-19
7,양지여인숙,강원도 동해시 해안로 513-2 (발한동),033-531-3545,여인숙업,2022-10-19
8,동강장여관,강원도 동해시 발한로 156 (발한동),033- 535-2090,여관업,2022-10-19
9,제성장여관,강원도 동해시 수원지1길 13 (부곡동),033- 532-5545,여관업,2022-10-19
10,삼흥장여관,강원도 동해시 해안로 515 (발한동),033- 533-2872,여관업,2022-10-19
11,호텔 카라멜(Hotel Caramel),강원도 동해시 발한로 219-11 (발한동),033- 533-1882,일반호텔,2022-10-19
12,성류장여관,강원도 동해시 발한로 146 (발한동),033- 533-2522,여관업,2022-10-19
13,대명모텔,강원도 동해시 발한로 49 (부곡동),033- 532-8649,여관업,2022-10-19
14,평화모텔,강원도 동해시 묵호시장길 26 (묵호진동),033- 532-2177,여관업,2022-10-19
15,센스장,강원도 동해시 부곡복개로 8-7 (부곡동),033- 533-7040,여관업,2022-10-19
16,별천장여관,강원도 동해시 동해대로 5014-1 (효가동),033- 522-2211,여관업,2022-10-19
17,별 무인텔,강원도 동해시 부곡로 9 (부곡동),033- 533-2272,여관업,2022-10-19
18,우림장모텔,강원도 동해시 동해항3길 26 (송정동),033- 521-2443,여관업,2022-10-19
19,풍년장여관,강원도 동해시 송정로 54 (송정동),033- 522-5775,여관업,2022-10-19
20,효가장여관,강원도 동해시 동해대로 5016 (효가동),033- 521-7371,여관업,2022-10-19
21,그린파크여관,강원도 동해시 부곡1길 21 (부곡동),033- 533-6277,여관업,2022-10-19
22,알프스장,강원도 동해시 부곡복개로 10-1 (부곡동),033- 533-2622,여관업,2022-10-19
23,호텔이스트(Hotel East),강원도 동해시 동해대로 5031-1 (효가동),033- 521-3589,일반호텔,2022-10-19
24,귀빈장여관,강원도 동해시 부곡복개로 15 (부곡동),033- 533-8686,여관업,2022-10-19
25,뉴동해관광호텔,강원도 동해시 평릉길 1 (천곡동),033- 533-9215,관광호텔,2022-10-19
26,부영모텔,강원도 동해시 부곡1길 1 (부곡동),033- 531-8070,여관업,2022-10-19
27,동해파크장,강원도 동해시 송정로 11 (송정동),033- 522-4189,여관업,2022-10-19
28,모텔피그,강원도 동해시 중앙로 209 (천곡동),033- 535-5581,여관업,2022-10-19
29,국제모텔,강원도 동해시 발한로 205 (발한동),033- 532-7550,여관업,2022-10-19
30,드루와,강원도 동해시 동해대로 6270-13 (망상동),033- 534-3131,일반호텔,2022-10-19
31,로얄모텔,강원도 동해시 부곡1길 7 (부곡동),033- 532-5252,여관업,2022-10-19
32,별장모텔,강원도 동해시 동해대로 6313 (망상동),033- 534-3833,여관업,2022-10-19
33,갤러리Haus,강원도 동해시 삼화로 520-1 (삼화동),033- 534-8866,여관업,2022-10-19
34,청원장여관,강원도 동해시 부곡복개로 16-3 (부곡동),033- 533-4430,여관업,2022-10-19
35,성빈장여관,강원도 동해시 발한로 154 (발한동),033- 533-0383,여관업,2022-10-19
36,경북여인숙,강원도 동해시 해안로 511-5 (발한동),033- 531-3103,여인숙업,2022-10-19
37,동해글로리아관광호텔,강원도 동해시 한섬로 112-4 (천곡동),033- 532-5454,관광호텔,2022-10-19
38,월산무릉아트프라자,강원도 동해시 삼화로 520 (삼화동),033- 534-8855,여관업,2022-10-19
39,(주)동해보양온천컨벤션호텔,강원도 동해시 동해대로 6281 (망상동),033- 530-0706,관광호텔,2022-10-19
40,델루와,"강원도 동해시 동해대로 6270-11 (망상동, 망상해변내)",033- 534-3017,일반호텔,2022-10-19
41,동천장여관,강원도 동해시 동해대로 5449 (평릉동),033- 535-2486,여관업,2022-10-19
42,타워모텔,강원도 동해시 평릉1길 11 (평릉동),033- 532-6636,여관업,2022-10-19
43,킹모텔,강원도 동해시 동굴로 131-6 (천곡동),033- 531-6804,여관업,2022-10-19
44,프린스여관,강원도 동해시 송정로 15 (송정동),033- 521-0027,여관업,2022-10-19
45,샤인모텔,강원도 동해시 동해항2길 8 (송정동),033- 522-0806,여관업,2022-10-19
46,꿈의궁전호텔,강원도 동해시 일출로 174 (묵호진동),033- 531-7400,일반호텔,2022-10-19
47,호텔 코코,강원도 동해시 동굴로 129 (천곡동),033- 535-0056,일반호텔,2022-10-19
48,디큐(DQ)모텔,강원도 동해시 부곡복개로 13 (부곡동),033- 535-2903,여관업,2022-10-19
49,동해비치호텔,강원도 동해시 일출로 172 (묵호진동),033- 533-6035,일반호텔,2022-10-19
50,호텔미,강원도 동해시 동굴로 131-9 (천곡동),033- 535-7403,여관업,2022-10-19
51,엘리시안 호텔,강원도 동해시 동굴로 125-1 (천곡동),033- 533-7783,일반호텔,2022-10-19
52,에스엠(SM)모텔,강원도 동해시 동굴로 123-1 (천곡동),033- 535-7441,여관업,2022-10-19
53,동부모텔,강원도 동해시 발한로 211-9 (발한동),033- 532-3204,여관업,2022-10-19
54,샘모텔,강원도 동해시 평릉길 7 (천곡동),033- 532-1212,여관업,2022-10-19
55,리사모텔,강원도 동해시 천곡로 86-1 (천곡동),033- 532-1666,일반호텔,2022-10-19
56,망상오토캠핑리조트,강원도 동해시 동해대로 6370 (망상동),033- 539-3600,휴양콘도미니엄업,2022-10-19
57,어달비치,강원도 동해시 일출로 283 (어달동),033- 535-0284,여관업,2022-10-19
58,아이체크현진호텔,강원도 동해시 한섬로 133-9 (천곡동),033- 533-6464,일반호텔,2022-10-19
59,호텔 피카소,강원도 동해시 동굴로 123-6 (천곡동),033- 533-2500,일반호텔,2022-10-19
60,호텔 본스테이,강원도 동해시 동굴로 125-4 (천곡동),033- 533-7800,일반호텔,2022-10-19
61,쉴모텔,강원도 동해시 한섬로 126-2 (천곡동),033- 535-3330,여관업,2022-10-19
62,코스모스호텔,강원도 동해시 한섬로 114-4 (천곡동),033- 535-6884,일반호텔,2022-10-19
63,베리식스,강원도 동해시 한섬로 126-1 (천곡동),033- 535-6009,일반호텔,2022-10-19
