시군구명,사업장명,도로명전체주소,문화체육업종명,관광숙박업상세명,총층수,건물용도명,지상층수,지하층수
강릉시,하슬라아트월드,강원도 강릉시 강동면 율곡로 1441,관광숙박업,소형호텔업,6,호텔,3,3
강릉시,썬크루즈 호텔&리조트,강원도 강릉시 강동면 헌화로 950-39,관광숙박업,휴양콘도미니엄업,10,호텔,10,
강릉시,THE HONG C HOTEL Gangneung,강원도 강릉시 교동광장로100번길 8 (교동),관광숙박업,관광호텔업,,,10,1
강릉시,호텔이스트나인,강원도 강릉시 교동광장로100번길 8-6 (교동),관광숙박업,관광호텔업,12,,11,1
강릉시,강릉관광호텔,"강원도 강릉시 금성로 62 (성내동, 빈폴타워)",관광숙박업,관광호텔업,17,,15,2
강릉시,벨라,강원도 강릉시 안현로 85-9 (안현동),관광숙박업,호스텔업,2,,,
강릉시,영진스테이2,강원도 강릉시 연곡면 해안로 1433-1,관광숙박업,호스텔업,3,,3,0
강릉시,썬앤제이드,"강원도 강릉시 옥계면 헌화로 189, 썬앤제이드",관광숙박업,호스텔업,2,숙박시설,2,1
강릉시,Hotel Tops10,강원도 강릉시 옥계면 헌화로 455-34,관광숙박업,관광호텔업,,,,
강릉시,HONG C HOTEL Gangneung Station,강원도 강릉시 옥천로65번길 2-6 (옥천동),관광숙박업,관광호텔업,8,숙박시설,8,
강릉시,게스트하우스 안도,강원도 강릉시 율곡로 2899-1 (교동),관광숙박업,호스텔업,3,,2,1
강릉시,더원,강원도 강릉시 주문진읍 해안로 1933-1,관광숙박업,호스텔업,4,숙박시설,4,0
강릉시,지브,강원도 강릉시 주문진읍 해안로 1935,관광숙박업,호스텔업,5,숙박시설,4,1
강릉시,G7 호스텔,강원도 강릉시 주문진읍 해안로 1939-8,관광숙박업,호스텔업,4,,4,
강릉시,주문진리조트,강원도 강릉시 주문진읍 해안로 2070,관광숙박업,,6,콘도미니엄,5,1
