시군구명,사업장명,소재지전화번호,소재지도로명주소,업종구분
강릉시,하하스테이,,강원도 강릉시 사천면 손맞이길 91-5,관광펜션업
강릉시,마운틴밸리관광펜션,,강원도 강릉시 연곡면 소금강길 372-12,관광펜션업
강릉시,힐스파이브 관광펜션,033-660-5000,강원도 강릉시 연곡면 소금강길 379-32,관광펜션업
강릉시,초당하우스,,강원도 강릉시 초당순두부길55번길 24 (초당동),관광펜션업
강릉시,르샤트리,,강원도 강릉시 하남길255번길 6-22 (안현동),관광펜션업
강릉시,바다가 좋아펜션,033-641-7779,"강원도 강릉시 해안로621번길 7, 바다가 좋아펜션 (안현동)",관광펜션업
고성군,누볼라 풀빌라,,강원도 고성군 간성읍 동호2길 29-15,관광펜션업
고성군,삼박한집,,강원도 고성군 토성면 봉포2길 12,관광펜션업
고성군,아야진 펜션 어울다,,강원도 고성군 토성면 아야진북길 67-1,관광펜션업
고성군,까사델아야,,강원도 고성군 토성면 아야진해변길 19,관광펜션업
고성군,천진낭만,,강원도 고성군 토성면 천진해변길 35-2,관광펜션업
삼척시,인드라망펜션텔,033-572-4034,강원도 삼척시 근덕면 장호길 126,관광펜션업
삼척시,(주)하이원추추파크,033-541-3803,강원도 삼척시 도계읍 심포남길 99,관광펜션업
삼척시,방갈로펜션,033-575-4846,강원도 삼척시 미로면 동안로 540 (두타현장체험학습장),관광펜션업
속초시,설악스카이,,강원도 속초시 설악산로352번길 13 (도문동),관광펜션업
속초시,스머프하우스,,강원도 속초시 하도문2길 7 (도문동),관광펜션업
양양군,산타힐펜션,033-671-8494,강원도 양양군 강현면 복골길 126-1,관광펜션업
양양군,우드힐,033-671-8383,강원도 양양군 강현면 소금재길179번길 72,관광펜션업
양양군,지중해 풀빌라,033-673-1253,강원도 양양군 서면 남대천로 917-12,관광펜션업
양양군,요트랑,,강원도 양양군 손양면 문화마을길 6,관광펜션업
양양군,트리플펜션&글램핑,,강원도 양양군 손양면 선사유적로 316-54,관광펜션업
양양군,스테이비욘드,,강원도 양양군 양양읍 거마천로 350-57,관광펜션업
양양군,아름다운 펜션,,강원도 양양군 현남면 북죽로 233,관광펜션업
양양군,바다에서 떠오르는 해(별관),033-673-1442,강원도 양양군 현북면 동해대로 1579-25,관광펜션업
양양군,바다에서 떠오르는 해(본관),033-673-9111,강원도 양양군 현북면 동해대로 1579-25,관광펜션업
양양군,골든베이,033-672-7090,강원도 양양군 현북면 하조대2길 48-9,관광펜션업
양양군,탄비치,,강원도 양양군 현북면 하조대해안길 77,관광펜션업
영월군,하늘아래펜션,,강원도 영월군 김삿갓면 모운동길 478,관광펜션업
영월군,하늘아래펜션,,강원도 영월군 김삿갓면 모운동길 478,관광펜션업
영월군,비브릿지,,강원도 영월군 김삿갓면 영월동로 2295-12,관광펜션업
영월군,비브릿지,,강원도 영월군 김삿갓면 영월동로 2295-12,관광펜션업
원주시,자작나무숲펜션,033-742-4455,강원도 원주시 지정면 구재로 40-13,관광펜션업
원주시,또아리하우스,,"강원도 원주시 판부면 치악로 966, 또아리하우스",관광펜션업
인제군,기린초 관광펜션,,강원도 인제군 기린면 조침령로 689,관광펜션업
인제군,합수모래관광펜션,,강원도 인제군 상남면 내린천로 2050-9,관광펜션업
인제군,가리벨리 관광펜션,,강원도 인제군 인제읍 대목리길 137,관광펜션업
인제군,로즈마리 관광펜션,,강원도 인제군 인제읍 장수터길 20,관광펜션업
정선군,숲속의 캐슬(2),,강원도 정선군 남면 자뭇골길 202,관광펜션업
정선군,숲속의 캐슬(1),,강원도 정선군 남면 자뭇골길 202-1,관광펜션업
정선군,숲속의 캐슬(1),,강원도 정선군 남면 자뭇골길 202-1,관광펜션업
정선군,프로방스 펜션,,강원도 정선군 남면 자뭇골길 204-1,관광펜션업
정선군,모래불 펜션,033-562-6370,강원도 정선군 여량면 송천길 2-51,관광펜션업
정선군,아일랜드,,강원도 정선군 정선읍 가리왕산로 570-25,관광펜션업
정선군,스위트 온 펜션,,강원도 정선군 정선읍 소금강로 33-56,관광펜션업
철원군,담터펜션,033-455-0002,강원도 철원군 동송읍 담터길 27,관광펜션업
철원군,스마일펜션,,강원도 철원군 서면 와수로110번안길 52,관광펜션업
철원군,하늘빛투,,강원도 철원군 서면 와수로240번길 12,관광펜션업
철원군,하늘빛,,강원도 철원군 서면 와수로240번길 12,관광펜션업
춘천시,2020스파엔 풀빌라,,강원도 춘천시 남산면 서천길 49,관광펜션업
춘천시,아이플러스 펜션,,강원도 춘천시 남산면 풀무골1길 22-1,관광펜션업
춘천시,리버스토리 1210,,강원도 춘천시 서면 박사로 1214,관광펜션업
춘천시,썸원스 페이지,,강원도 춘천시 신동면 삼포길 155,관광펜션업
평창군,그랑샤리오,033-332-7778,강원도 평창군 방림면 감동지길 104,관광펜션업
평창군,그랑샤리오,033-332-7778,강원도 평창군 방림면 감동지길 104,관광펜션업
평창군,오랜지관광펜션,033-334-8263,강원도 평창군 방림면 감동지길 114-12,관광펜션업
