시군,명칭,분류명,연락처
강릉시,옥계해변캠핑장,캠핑&트래킹,033-640-4605
강릉시,주문진해변캠핑장,캠핑&트래킹,033-640-4605
강릉시,연곡해변캠프장,캠핑&트래킹,033-640-4607
강릉시,강릉 스킨스쿠버,수상&해양&물놀이,033-640-5132
강릉시,강릉산악자전거코스,모터&바이크&인라인,033-640-5420
강릉시,태장봉 눈썰매장,스키&보드&썰매,033-641-2622
강릉시,하슬라 패러글라이딩(대관령 활공장),항공&글라이딩,033-641-8526
강릉시,와바다다㈜ 아라나비,점프&활강,033-641-9002
강릉시,강릉승마장,골프&승마,033-644-6264
강릉시,경포수상레저협회  제트스키,수상&해양&물놀이,033-646-0666
강릉시,경포수상레저협회 워터슬레이드,수상&해양&물놀이,033-646-0666
강릉시,경포수상레저협회 수상스키,수상&해양&물놀이,033-646-0666
강릉시,경포수상레저협회 웨이크보트,수상&해양&물놀이,033-646-0666
강릉시,경포수상레저협회 모터보트,수상&해양&물놀이,033-646-0666
강릉시,강릉시 야외인라인롤러경기장,모터&바이크&인라인,033-647-2004
강릉시,강릉실내인라인스케이트장,모터&바이크&인라인,033-647-2004
강릉시,강릉시 인공암장,등벽&등반,033-647-2004
강릉시,강릉빙상경기장,스키&보드&썰매,033-647-8688
강릉시,안목유선조합 스타비치보트 카이트보딩,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 워터슬레이드,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 제트스키,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 수상스키,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 웨이크보드,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 윈드서핑,수상&해양&물놀이,033-651-3344
강릉시,안목유선조합 스타비치보트 모터보트,수상&해양&물놀이,033-651-3344
강릉시,강문유선조합 드래곤 마린 제트스키,수상&해양&물놀이,033-652-0555
강릉시,강문유선조합 드래곤 마린 워터슬레이드,수상&해양&물놀이,033-652-0555
강릉시,강문유선조합 드래곤 마린 모터보트,수상&해양&물놀이,033-652-0555
강릉시,강문유선조합 드래곤 마린 웨이크보드,수상&해양&물놀이,033-652-0555
강릉시,강문유선조합 드래곤 마린 수상스키,수상&해양&물놀이,033-652-0555
강릉시,샌드파인 골프클럽,골프&승마,033-655-7000
강릉시,메이플비치 골프 & 리조트,골프&승마,033-823-2000
강릉시,오션스토리 해상워터파크,수상&해양&물놀이,070-8818-2977
강릉시,오션스토리 워터슬레이드,수상&해양&물놀이,070-8818-2977
강릉시,오션스토리 바다래프팅,수상&해양&물놀이,070-8818-2977
강릉시,오션스토리 모터보트,수상&해양&물놀이,070-8818-2977
고성군,강원도세계잼버리수련장,캠핑&트래킹,033-633-8107
고성군,고성 잼버리카트장,모터&바이크&인라인,033-635-2555
고성군,델피노골프앤리조트,골프&승마,033-635-8311
고성군,일성콘도 사계절썰매장,스키&보드&썰매,033-636-0013
고성군,백도 오토캠핑장,캠핑&트래킹,033-636-6661
고성군,설악썬밸리골프리조트,골프&승마,033-638-5362
고성군,대명 델피노골프앤리조트(대명 아쿠아월드설악),수상&해양&물놀이,033-639-3553
고성군,송지호 오토캠핑장,캠핑&트래킹,033-680-3164
고성군,고성군 윈드서핑,수상&해양&물놀이,033-680-3361
고성군,고성 인공암벽장,등벽&등반,033-680-3361
고성군,고성 스킨스쿠버,수상&해양&물놀이,033-680-3361
고성군,고성종합운동장 (인라인 스케이트),모터&바이크&인라인,033-680-3678
고성군,한국재활승마 교육센터,골프&승마,033-682-7748
고성군,봉수대 오토캠핑장,캠핑&트래킹,1544-9562
동해시,동해 스킨스쿠버,수상&해양&물놀이,033-522-1475
동해시,동해 천곡동굴,동굴&천문대,033-532-7303
동해시,망상오토캠핑리조트,캠핑&트래킹,033-534-3110
동해시,동해종합운동장실내사격장,사격&서바이벌,033-535-1476
동해시,동해시종합경기장 인라인연습장,모터&바이크&인라인,033-535-1476
동해시,캐라비언코리아 워터슬레이드,수상&해양&물놀이,033-535-3197
동해시,캐라비언코리아 승마체험,골프&승마,033-535-3197
동해시,동해 바다래프팅,수상&해양&물놀이,033-535-3197
동해시,동해시 인공암장,등벽&등반,033-539-3560
동해시,무릉계곡힐링캠프장,캠핑&트래킹,033-539-3700
삼척시,삼척 블랙밸리 C.C,골프&승마,033-540-5300
삼척시,대금굴(대이리동굴지대),동굴&천문대,033-541-7600
삼척시,환선굴(대이리 동굴지대),동굴&천문대,033-541-7600
삼척시,삼척해수욕장 캠핑장,캠핑&트래킹,033-570-3545
삼척시,삼척 씨스포빌리조트 골프장(구 맹방골프장),골프&승마,033-570-5000
삼척시,삼척 파인밸리 C.C,골프&승마,033-573-0874
삼척시,내미로 눈썰매장,스키&보드&썰매,033-573-9960
삼척시,해양관광레저스포츠센터 수상스키,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 파워보트,수상&해양&물놀이,033-576-0611
삼척시,삼척 스킨스쿠버,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 요트,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 웨이크보드,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 씨카약,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 워터슬레이드,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 수상오토바이,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 씨래프팅,수상&해양&물놀이,033-576-0611
삼척시,해양관광레저스포츠센터 윈드서핑,수상&해양&물놀이,033-576-0611
삼척시,삼척해양레일바이크,모터&바이크&인라인,033-576-0656
삼척시,삼척 레일바이크,모터&바이크&인라인,033-576-0656
속초시,속초 스킨스쿠버,수상&해양&물놀이,033-530-2114
속초시,속초 설악프라자 C.C,골프&승마,033-630-5511
속초시,속초요트마리나(속초마리나리조트),수상&해양&물놀이,033-632-0006
속초시,속초 영랑호 C.C,골프&승마,033-633-0003
속초시,설악워터피아(한화),수상&해양&물놀이,033-635-7700
속초시,설악산 암벽등반,등벽&등반,033-636-7700
속초시,설악산 빙벽타기,등벽&등반,033-636-7700
속초시,속초코마린요트공원 파워요트,수상&해양&물놀이,033-637-4609
속초시,속초코마린요트공원 세일요트,수상&해양&물놀이,033-637-4609
속초시,미니바이크,모터&바이크&인라인,033-637-6300
속초시,속초화랑승마장,골프&승마,033-639-2407
속초시,속초시 카누경기장,수상&해양&물놀이,033-639-2474
속초시,속초해변오토캠핑장,캠핑&트래킹,033-639-2545
속초시,속초해변야영장,캠핑&트래킹,033-639-2545
속초시,속초시 인공오름벽,등벽&등반,033-639-2548
양구군,양구 10년 장생길,캠핑&트래킹,033-480-2251
양구군,두타연길 트래킹,캠핑&트래킹,033-480-2386
양구군,소지섭길,캠핑&트래킹,033-480-2386
양구군,국토정중앙천문대,동굴&천문대,033-480-2586
양구군,양구청소년야영장,캠핑&트래킹,033-480-2631
양양군,주말을 다이나믹 서핑과,수상&해양&물놀이,
양양군,양양오토캠핑장,캠핑&트래킹,
양양군,38해양레저스포츠 웨이크보드,수상&해양&물놀이,033-627-3897
양양군,구룡령 옛길 트래킹 코스,캠핑&트래킹,033-670-2251
양양군,양양군실내사격장,사격&서바이벌,033-670-2251
양양군,양양남대천체육공원 인라인스케이트장,모터&바이크&인라인,033-670-2254
양양군,38마린리조트,수상&해양&물놀이,033-671-0381
양양군,양양수산항마리나(강원도요트협회),수상&해양&물놀이,033-671-4152
양양군,38해양레저스포츠 수상스키,수상&해양&물놀이,033-672-3897
양양군,38해양레저스포츠 모터보트,수상&해양&물놀이,033-672-3897
양양군,38해양레저스포츠 씨카누,수상&해양&물놀이,033-672-3897
양양군,38해양레저스포츠 워터슬레이드,수상&해양&물놀이,033-672-3897
양양군,38해양레저스포츠 바다래프팅,수상&해양&물놀이,033-672-3897
양양군,38해양레저스포츠 제트스키,수상&해양&물놀이,033-672-3897
양양군,해담마을 야영장,캠핑&트래킹,033-673-2233
양양군,해담마을 수륙양용차,모터&바이크&인라인,033-673-2233
양양군,대명리조트 쏠비치 아쿠아월드,수상&해양&물놀이,1588-4888
영월군,고씨굴,동굴&천문대,033-370-2091
영월군,동강트래킹,캠핑&트래킹,033-370-2542
영월군,산꼬라데이길,캠핑&트래킹,033-370-2542
영월군,영월 스포츠파크 인라인스케이트장,모터&바이크&인라인,033-370-2542
영월군,동강오토캠핑장,캠핑&트래킹,033-370-2542
영월군,주천느림길,캠핑&트래킹,033-370-2542
영월군,코세스 해피빌리지 눈썰매장,스키&보드&썰매,033-372-0700
영월군,영월 패러글라이딩(봉래산 활공장),항공&글라이딩,033-373-9111
영월군,외씨버선길,캠핑&트래킹,033-374-6830
영월군,별마로천문대,동굴&천문대,033-374-7460
영월군,영월 동강카누캠프,수상&해양&물놀이,033-374-8787
영월군,영월 동강 래프팅,수상&해양&물놀이,1577-0545
원주시,오크밸리리조트 눈썰매장,스키&보드&썰매,033-730-3777
원주시,원주 파크밸리 C.C,골프&승마,033-731-4811
원주시,원주베이스캠프,사격&서바이벌,033-732-0210
원주시,원주 동서울레스피아 골프장,골프&승마,033-732-3700
원주시,동서울레스피아 골프장,골프&승마,033-732-3700
원주시,동서울레스피아 눈썰매장,스키&보드&썰매,033-732-3700
원주시,치악산구룡자동차야영장,캠핑&트래킹,033-732-4635
원주시,드림랜드 눈썰매장,스키&보드&썰매,033-732-5800
원주시,원주 센추리21 C.C,골프&승마,033-733-1000
원주시,원주 레일파크,모터&바이크&인라인,033-733-6600
원주시,코리아승마클럽 (구 고려승마클럽),골프&승마,033-734-1141
원주시,백운산상바위암벽등반,등벽&등반,033-737-2111
원주시,산현암 암벽등반,등벽&등반,033-737-2111
원주시,원주굽이길,캠핑&트래킹,033-737-2111
원주시,원주 인공암벽장,등벽&등반,033-737-2111
원주시,봉산동 인라인스케이트장,모터&바이크&인라인,033-737-4311
원주시,간현관광지 야영장,캠핑&트래킹,033-737-4765
원주시,간현암 암벽등반,등벽&등반,033-761-4177
원주시,판대 아이스파크,등벽&등반,033-761-4177
원주시,치악산자연휴양림,캠핑&트래킹,033-762-8288
원주시,금대자동차야영장,캠핑&트래킹,033-763-5232
원주시,원주황둔자연휴양림,점프&활강,033-764-3007
원주시,인터불고 원주골프장,골프&승마,033-769-8114
원주시,원주 오크밸리리조트 골프장,골프&승마,1588-7676
원주시,오크밸리리조트 스노우파크,스키&보드&썰매,1588-7676
인제군,엑스게임리조트 내린천번지점프 & 슬링샷,점프&활강,033-333-7227
인제군,기룡 패러글라이딩(기룡산 활공장),항공&글라이딩,033-460-2082
인제군,내린천 래프팅,수상&해양&물놀이,033-460-2170
인제군,인제 원대리 음봉산 MTB코스,모터&바이크&인라인,033-460-2366
인제군,용대리 매바위 인공폭포 빙벽,등벽&등반,033-460-2366
인제군,인제테마파크 스카이다이빙,점프&활강,033-461-0141
인제군,인제테마파크 캠핑장,캠핑&트래킹,033-461-0141
인제군,자작나무힐링캠프(인제모험레포츠연수원),캠핑&트래킹,033-461-3377
인제군,엑스게임리조트 밀리터리테마파크 서바이벌,사격&서바이벌,033-461-5216
인제군,인제 아이언웨이,등벽&등반,033-462-0035
인제군,인제 내린천 집트랙,점프&활강,033-462-0701
인제군,미리내캠프,캠핑&트래킹,033-463-3311
인제군,아르고체험장,모터&바이크&인라인,033-463-8200
인제군,인제 스피디움,모터&바이크&인라인,1644-3366
정선군,에콜리안 정선 골프장,골프&승마,033-378-7514
정선군,오장산 인공폭포 빙벽,등벽&등반,033-560-2368
정선군,정선종합경기장 인라인스케이트장,모터&바이크&인라인,033-560-2579
정선군,화암약수 야영장,캠핑&트래킹,033-562-1944
정선군,가리왕산야영장,캠핑&트래킹,033-563-1544
정선군,아일랜드정선 서바이벌,사격&서바이벌,033-563-2233
정선군,아리힐스 리조트(스카이워크 짚와이어),점프&활강,033-563-4100
정선군,화암동굴,동굴&천문대,033-563-6666(화암관광지관리사무소)
정선군,정선 레일바이크,모터&바이크&인라인,033-563-8787
정선군,도사곡 휴양림 & 야영장,캠핑&트래킹,033-592-9400
정선군,회동 솔밭야영장,캠핑&트래킹,070-4119-5840
정선군,동강전망 자연휴양림,캠핑&트래킹,070-4225-2336
정선군,정선 트래킹 코스,캠핑&트래킹,1544-9053
정선군,정선MTB/자전거 코스,모터&바이크&인라인,1544-9053
정선군,졸드루 야영장,캠핑&트래킹,1544-9053
정선군,항골계곡 야영장,캠핑&트래킹,1544-9053
정선군,하이원리조트 인공암벽장,등벽&등반,1588-7789
정선군,정선 하이원리조트 골프장,골프&승마,1588-7789
정선군,하이원리조트 스키장,스키&보드&썰매,1588-7789
정선군,하이원리조트 눈썰매장,스키&보드&썰매,1588-7789
정선군,화절령길(하이원길)코스,캠핑&트래킹,1588-7789
정선군,좋은친구들 ATV,모터&바이크&인라인,1644-5822
정선군,좋은친구들 서바이벌게임,사격&서바이벌,1644-5822
정선군,정선 동강 래프팅,수상&해양&물놀이,1644-5822
정선군,좋은친구들 더키/카누/카약,수상&해양&물놀이,1644-5822
철원군,철원 한여울길 트래킹,캠핑&트래킹,033-450-4310
철원군,한탄강 래프팅,수상&해양&물놀이,033-450-4310
철원군,굿레저 ATV,모터&바이크&인라인,033-452-1253
철원군,카트조이레저 4륜바이크,모터&바이크&인라인,033-452-3822
철원군,카트조이레저 서바이벌게임,사격&서바이벌,033-452-3822
철원군,카트조이레저 레저카트,모터&바이크&인라인,033-452-3822
철원군,백마리조트 번지점프,점프&활강,033-452-8294
철원군,철원관광레저 ATV,모터&바이크&인라인,033-455-0033
철원군,철원관광레저 서바이벌게임,사격&서바이벌,033-455-0033
철원군,청룡레저 서바이벌게임,사격&서바이벌,033-455-6123
철원군,청룡레저 ATV,모터&바이크&인라인,033-455-6123
철원군,원스톱레포츠 ATV,모터&바이크&인라인,033-455-9950
철원군,원스톱레포츠 서바이벌게임,사격&서바이벌,033-455-9950
춘천시,라데나 마리나 수상레저(구 두산레저) 모터보트,수상&해양&물놀이,033-240-8113
춘천시,라데나 마리나 수상레저(구 두산레저) 워터슬레이드,수상&해양&물놀이,033-240-8113
춘천시,라데나 마리나 수상레저(구 두산레저) 웨이크보드,수상&해양&물놀이,033-240-8113
춘천시,라데나 마리나 수상레저(구 두산레저) 수상스키,수상&해양&물놀이,033-240-8113
춘천시,옥광산 눈썰매장,스키&보드&썰매,033-241-2559
춘천시,집다리골 휴양림,캠핑&트래킹,033-243-1443
춘천시,춘천 래프팅 카약,수상&해양&물놀이,033-243-2500
춘천시,오항리 청소년 야영장,캠핑&트래킹,033-243-3560
춘천시,드림수상레저 수상스키,수상&해양&물놀이,033-243-7177
춘천시,드림수상레저 모터보트,수상&해양&물놀이,033-243-7177
춘천시,드림수상레저 워터슬레이드,수상&해양&물놀이,033-243-7177
춘천시,국립용화산자연휴양림 빙벽체험,등벽&등반,033-243-9261
춘천시,국립용화산자연휴양림 숲속천문대,동굴&천문대,033-243-9261
춘천시,국립용화산자연휴양림 야영장,캠핑&트래킹,033-243-9261
춘천시,강촌 레일파크,모터&바이크&인라인,033-245-1000
