시설 코드,시설 명,업종,주변 시설1,위도,경도
1,6.25전쟁체험전시관,일반,do it 192 카페,38.50443579,128.4234094
1,DMZ박물관,일반,투썸플레이스 거진농협현내점,38.4935887,128.4238302
1,갈매기배낚시,해양레저,양양별장민박,38.1220524,128.630333
1,강릉서핑학교,해양레저,장안횟집,37.837603,128.875383
1,강릉선교장,일반,카페리몽,37.7860808,128.880361
1,강릉스타호,해양레저,카페산토리니,37.7707455,128.9459494
1,강릉올림픽뮤지엄,일반,보헤미안경포,37.7804699,128.894694
1,강릉요트타운,해양레저,블랙피쉬,37.7730446,128.9424235
1,강릉일출보트,해양레저,브라운도트호텔경포,37.79967393,128.913406
1,강릉피싱호,해양레저,고래등조개마을,37.77114576,128.9447613
1,강원서핑스쿨,해양레저,데스커,37.9718335,128.7582066
1,거북이서프,해양레저,거북이서프바,37.9342699,128.7846284
1,경민호,해양레저,주문진황소국밥,37.89487538,128.83238
1,경포다이브리조트,해양레저,카페오두막,37.81597582,128.895219
1,경포대씨드림리조트,해양레저,호텔강릉별장,37.7957533,128.831026
1,고서프,해양레저,송지호바다펜션,38.3284132,128.5232176
1,공현진낚시마트,해양레저,요거프레소공현진점,38.354027,128.5063216
1,글라이더서프스쿨,해양레저,바다마을 펜션,37.9456086,128.7807317
1,금강호,해양레저,키크러스커피,37.7708461,128.9453818
1,낙산사,일반,광주빛고을식당,38.1217509,128.630264
1,낙산사템플스테이,일반,워터프런트커피,38.1214636,128.630657
1,남대천수상레포츠센터,해양레저,동해안7번지,38.100467,128.649676
1,남애서프클럽,해양레저,강타펜션,37.9456066,128.781991
1,남애스쿠버리조트,해양레저,피자정비소,37.9457747,128.7813212
1,더제이다이브센터,해양레저,미미네횟집,37.9013705,128.916132
1,더킹피싱,해양레저,마도로스횟집,38.0746685,128.5244979
1,동해어부호,해양레저,수산횟집,38.0783727,128.6678782
1,동해호,해양레저,성재화랑,38.1217294,128.6264589
1,동호다이브리조트,해양레저,커피볶는집시다모양양동호해변점,38.0579876,128.6784041
1,동흥호,해양레저,아침바다콘도텔,38.1215281,128.631359
1,드리프터,해양레저,마할로,37.9720639,128.761514
1,디스커버리서핑,해양레저,남애리화덕피자,37.9453786,128.7782811
1,딥서프,해양레저,춘천닭갈비한식전문,38.0203,128.7176528
1,라니카이서프,해양레저,해녀횟집,37.945593,128.7808158
1,라이트하우스포인트,해양레저,이스트피자,37.9695845,128.7574685
1,레인저호,해양레저,공차강릉안목항점,37.7718906,128.9438851
1,서프로드3521,해양레저,로드3521카페&펍,38.1508515,128.607144
1,롤리서프,해양레저,육쌈냉면,37.8316174,128.876906
1,롱비치서프스쿨,해양레저,은실이네민박,37.948482,128.7745408
1,루나로사요트클럽,해양레저,미역국전문점안목애,37.7717882,128.944012
1,9`o 서프보드클럽,해양레저,카페 올라,37.1796948,128.5556548
1,LF문암다이브리조트,해양레저,카페 온더버튼,38.2962909,128.5437075
1,OK다이브 스킨스쿠버,해양레저,봉포머구리집 고성점,38.2605614,128.5564937
1,강원종합박물관,일반,장호마당펜션,37.2846477,129.3098027
1,고고비치서프,해양레저,씨앤블루 펜션,38.3096299,128.5339551
1,고성윤창호배낚시,해양레저,티박스펜션,38.2952078,128.5444848
1,교암다이브리조트,해양레저,천학정민박,38.2911784,128.5434149
1,누사서프,해양레저,길수산,37.9721508,128.756861
1,대금굴,해양레저,대성호횟집,37.2869149,129.3104145
1,라비마린,해양레저,어부횟집,38.326908,128.5243778
1,래빗라운드,해양레저,삼척피자알볼로,37.4499354,129.1638687
1,서핑스쿨 렛미서프,해양레저,천진낭만펜션,38.2599897,128.5553814
1,리틀코브,해양레저,칸,37.96865398,128.7614352
1,마루호,해양레저,자연횟집,38.078475,128.672039
1,마린서프,해양레저,"예쁘다, 하조대 ",38.0234301,128.7177833
1,만수르호,해양레저,만리향,38.0203024,128.7184139
1,망고서프,해양레저,모닝비치펜션,37.9766859,128.7546011
1,매직카펫라이드 서프,해양레저,버거월드,37.9691732,128.7571116
1,메가서프,해양레저,써니사이드업,37.9483252,128.7788952
1,명성호,해양레저,카페 가비,37.2301087,129.3410856
1,모쿠서프,해양레저,양양버거,37.9738075,128.754906
1,몬스터서퍼스,해양레저,하조대 해변펜션,37.2300849,128.7186276
1,문암다이브리조트,해양레저,파노라마카페,38.295445,128.54528
1,미래시크릿호,해양레저,로지커피,37.7707476,128.9457337
1,바우지움조각미술관,일반,초당순두부,37.6918078,128.5141001
1,배럴서프스쿨,해양레저,이스트비치,37.969701,128.7617654
1,별서프클럽,해양레저,해변펜션,38.1288853,128.6188791
1,보보스 다이브리조트,해양레저,이디야커피,37.83831057,128.875846
